Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Roseola,Runny nose,Rash,Red eyes,Loss of appetite,Rashes,Feverish,,,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Headache,Cough,Rashes,Chills,,,,,,,,,
Norovirus Infection,Stomach cramps,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Rashes,General discomfort,Fever,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Red eyes,Diarrhea,Vomiting,Feverish,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,General discomfort,Irritability,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Rashes,Chills,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Headache,Fatigue,Dehydration,Muscle aches,Body aches,Rashes,Joint pain,,,,,
Norovirus Infection,Diarrhea,Vomiting,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Sweating,Body aches,Fever,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Fatigue,Dehydration,Loss of appetite,Muscle aches,Rashes,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Loss of appetite,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,,,
Roseola,High fever,Rash,Sore throat,Cough,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
Roseola,High fever,Fatigue,Sore throat,Red eyes,Loss of appetite,Body aches,Feverish,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Abdominal pain,Dehydration,Rashes,General discomfort,Irritability,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Headache,Fatigue,Sweating,Body aches,General discomfort,Fever,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Dehydration,Rashes,Fever,,,,,,
Mumps,Headache,"Swollen, painful salivary glands",Pain while chewing or swallowing,Fever,Muscle aches,Loss of appetite,Testicle pain and tenderness,Headache,Tiredness,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Chills,Joint pain,,,,,,
Roseola,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Rashes,Feverish,,,,
Roseola,Runny nose,Rash,Fatigue,Sore throat,Headache,Cough,Vomiting,Body aches,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Stomach cramps,Headache,Dehydration,Body aches,Rashes,General discomfort,Joint pain,,,,,,,
Roseola,High fever,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Stomach cramps,Headache,Fatigue,Muscle aches,Body aches,Feverish,General discomfort,,,,,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Chills,Feverish,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Fatigue,Loss of appetite,Dehydration,Rashes,General discomfort,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Fatigue,Dehydration,General discomfort,Joint pain,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,
Roseola,Rash,Irritability,Cough,Vomiting,Loss of appetite,Abdominal pain,Body aches,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Nausea,Abdominal pain,Loss of appetite,Dehydration,General discomfort,Irritability,,,,,,,
Roseola,Rash,Irritability,Swollen lymph nodes,Cough,Red eyes,Vomiting,Loss of appetite,Body aches,Rashes,Chills,Feverish,,,,,
Roseola,Fatigue,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Loss of appetite,Dehydration,Sweating,Rashes,,,,,,,
Roseola,Rash,Irritability,Cough,Diarrhea,Loss of appetite,Abdominal pain,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Bloody stools,Dehydration,Loss of appetite,Muscle aches,Rashes,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,
Norovirus Infection,Muscle aches,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Chills,Rashes,General discomfort,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Cough,Loss of appetite,Abdominal pain,Body aches,Rashes,Feverish,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Headache,Cough,Red eyes,Body aches,Rashes,,,,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Headache,Cough,Red eyes,Abdominal pain,Feverish,,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Fever,Headache,Fatigue,Muscle aches,Body aches,Feverish,Rashes,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Loss of appetite,Sweating,Rashes,General discomfort,Fever,,,,,,
Roseola,Runny nose,Rash,Irritability,Swollen lymph nodes,Cough,Vomiting,Loss of appetite,Chills,,,,,,,,
Norovirus Infection,Headache,Loss of appetite,Dehydration,Body aches,General discomfort,Fever,Irritability,,,,,,,,,
Roseola,High fever,Rash,Irritability,Sore throat,Headache,Red eyes,Diarrhea,Vomiting,Abdominal pain,Chills,,,,,,
